description,job_title,link,location,price,proposal
"I am looking for an experienced digital marketing freelancer to help my business grow. Specifically, I need help with social media management activities. My preference would be a freelancer, rather than an agency, and I am looking for someone to support me in the long-term.",Digital Marketing Freelancer Needed,https://www.freelancer.com/projects/social-media-marketing/digital-marketing-freelancer-needed,"1 Huntingdon Road, Morningside, Sandton, South Africa",₹12500-37500 INR,3 proposals
"The desktop version of my WIX site has the menu the correct way and layout. But for some reason my mobile version is not matching it. I posted 2 photos below. One photo is of the menu on the desktop version which is the way I want it, the other is of the mobile version which isn't showing the same. I will probably need more help with little things here and there so I would like to find someone that I can use going forward with my websites as needed. Thank you!!",Wix problem,https://www.freelancer.com/projects/website-design/wix-problem-37025425,"Denver, United States",$10-30 USD,38 proposals
,,https://www.freelancer.com/contest/redesign-my-website-2292912,,,
"I need a 3D drawing on the floor, so it looks like the image is there.",Making a visual 3D drawing on the floor,https://www.freelancer.com/projects/3d-modelling/making-visual-drawing-the-floor,"Skanderborg, Denmark",€8-30 EUR,Open for bidding
"I am looking for a skilled developer to create a WhatsApp-like smart phone app for Android, iOS, and Windows platforms. The app will have the following features:",whatsapp like smart phone android/ios/windows app,https://www.freelancer.com/projects/android/whatsapp-like-smart-phone-android,Iraq,$250-750 USD,27 proposals
"I am looking for someone to help me with copyright and content writing. Specifically, I need assistance creating website content, as well as blog posts, and social media. My primary focus is on copyrighting and so my ideal freelancer would have strong writing skills and a background in copyright. In terms of the volume of work, I am looking for 1-3 pieces of content initially. If I find reliable, quality work, I anticipate that the number of pieces requested may grow over time.",Copyright and content writing,https://www.freelancer.com/projects/content-writing/copyright-content-writing-37025432,"Bangalore, India",₹400-750 INR / hour,14 proposals
What Needs to be Done:,ChatGPT Business Assistant,https://www.freelancer.com/projects/html/chatgpt-business-assistant,"Eastpointe, United States",$1500-3000 USD,62 proposals
"I am looking for an architect to create a building plan for a residential project with an estimated square footage of 1000-5000 sq ft. The plan should be basic, without any special features required.",Architect Building Plan,https://www.freelancer.com/projects/building-architecture/architect-building-plan,"Toronto, Canada",$15-25 CAD / hour,29 proposals
There is a All member page with user data tables into Admin panel.,Optimize SQL query to load faster,https://www.freelancer.com/projects/php/optimize-sql-query-load-faster,"Goghat, India",₹100-400 INR / hour,Open for bidding
Project Title: Fix upload speed on VPS server,Fix upload speed on VPS server,https://www.freelancer.com/projects/linux/fix-upload-speed-vps-server,"Lahore, Pakistan",$10-30 CAD,1 proposal
"I am looking for an experienced freelancer to design and construct a land access road for my property in Bokeelia, FL. The road will be less than 1 mile in length, and the surface of the road will be gravel. The road is intended for cars and small trucks to use, and I would like it to be built to the highest standards in order to ensure safety. If you have experience in designing and constructing access roads, and believe you can help construct mine, then please feel free to contact me.",Land Access Road Bokeelia FL,https://www.freelancer.com/projects/civil-engineering/land-access-road-bokeelia,"Atlanta, United States",$250-750 USD,15 proposals
"I have a .net MAUI project (.sln), and I want to export it into a single .exe.",Export .net MAUI project into single exe,https://www.freelancer.com/projects/dot-net/export-net-maui-project-into,"Amsterdam, Netherlands",€8-30 EUR,Open for bidding
"We are looking for (Kannada) Native Transcribers from India for a Transcription Project, where you will listen to audio varying from 1 to 30 minutes and transcribe/write them in the same language.",Kannada India Native Transcribers,https://www.freelancer.com/projects/transcription/kannada-india-native-transcribers,"Muscat, Oman",$250-750 USD,5 proposals
"I have a (very basic) logo concept that I would like recreated, with some graphic improvements, into various printable/emailable forms, including. ai, .eps. jpg, etc",Create a logo vector,https://www.freelancer.com/projects/indesign/create-logo-vector,"Faversham, United Kingdom",£20-250 GBP,70 proposals
"Hello there! My name is Ganesh Patil, and I need some help to complete a project I'm working on in Visual Studio. This project is a Desktop Application, and I already have an existing codebase to work from. In addition, this project requires the integration with some other third-party services. I am looking for an experienced programmer with plenty of knowledge and work experience in Visual Studio. If you are the right fit to help me with this project, then I would really appreciate you getting in touch.",Visual studio,https://www.freelancer.com/projects/dot-net/visual-studio,"Vasai, India",₹12500-37500 INR,3 proposals
"We are looking to transform our current website from its static nature on Wix to a more dynamic, modern, and user-friendly design with european Standards/design. Our aim is not just to have a fresh design, but to also ensure it's easy for our team to upload jobs, post news, add new pages, and update content seamlessly.",Company Dynamic website site with CMS and branding and SEO,https://www.freelancer.com/projects/website-design/company-dynamic-website-site-with,"Molndal, Sweden",$750-1500 USD,8 proposals
Project Description:,FIX & RUN PYTHON SCRIPT ON SERVER,https://www.freelancer.com/projects/python/fix-run-python-script-server,"Lagos, Nigeria",$30-250 USD,Open for bidding
Design a banner for a website header. 1466 x 468 pixel.,Design banner,https://www.freelancer.com/projects/graphic-design/design-banner-37025375,"Zapopan, Mexico",$10-30 USD,Open for bidding
"Welcome to my project. I am looking for someone to create some delicious, unique, and fresh baked goods for my bakery. I'm in need of cakes, pastries, and breads, but I'm not sure if I need them to meet any dietary requirements yet. There will be no delivery required, so you can have the baked goods ready when it's convenient for you. I'm open to ideas and suggestions to make sure my bakery stands out from the rest. I'm looking forward to working with someone to create something good and tasty that will attract customers to my bakery.",Bakery's free,https://www.freelancer.com/projects/3d-design/bakery-free,Azerbaijan,£250-750 GBP,4 proposals
Project Description:,Finish short survey(new freelancers are welcome),https://www.freelancer.com/projects/research/finish-short-survey-new-freelancers,"Nabeul, Tunisia",$3000-5000 USD,Open for bidding
Project Description:,Simple PDF typing,https://www.freelancer.com/projects/data-entry/simple-pdf-typing-37025367,"London, United Kingdom",€250-750 EUR,37 proposals
Unreal Engine 4 Pilot Character Project by Paranes Games,Unreal engine 4 Pilot Character Project by Paranes games,https://www.freelancer.com/projects/unreal-engine/unreal-engine-pilot-character-project,"Taman Desa Cheras, Malaysia",$250-750 USD,10 proposals
"I am looking for a dedicated freelancer to assist me in my research project for nutrition and health videos. The focus of this project is on health broadly. Ideally the freelancer I am searching for should have experience in researching this field, and be able to demonstrate this. Knowledge of functional medicine is a great asset in this project.",Scientific research for nutrition/health video's,https://www.freelancer.com/projects/health/scientific-research-for-nutrition-health,"Amsterdam, Netherlands",$250-350 USD,17 proposals
"I'm looking for a one-time consulation. I have a php dynamically translated website. It has few files in which i store translations as key-value pairs, and a php function which stores user language pregerence in a cookie, on basing on that it chooses correct translation file and fills the site.",Multilanguage php developement consultation,https://www.freelancer.com/projects/php/multilanguage-php-developement,"Chinch'on, Korea, Republic of",$10-20 USD,Open for bidding
As discussed - copy of https://www.freelancer.com/projects/php/Frontend-Dev-with-Product-Responsibility/,Private project for @simanta,https://www.freelancer.com/projects/php/private-project-for-simanta,"-, Germany",$15-25 USD / hour,8 proposals
"Expert in scraping for develop proxy isp and ip checker. i have username pass and ip and port i neeed to obtain ip and isp of all that list, we will develop online app, deploying on vps of digital ocean, check the image attached",Expert in scraping for develop SOCK5 proxy isp and ip checker online appp need,https://www.freelancer.com/projects/web-scraping/expert-scraping-for-develop-sock,"Arequipa, Peru",$30-250 USD,11 proposals
I am looking for someone to help me with the following tasks for my WordPress website:,Remove Wordpress Redirection Virus and other tasks,https://www.freelancer.com/projects/wordpress/remove-wordpress-redirection-virus-other,"Cologne, Germany",€30-250 EUR,85 proposals
I am looking for a freelancer to create a certificate document for me. I will provide detailed guidelines for the design and content. The document is 1 page.,Making a document,https://www.freelancer.com/projects/graphic-design/making-document,"Belgrade, Serbia",$10-30 USD,5 proposals
I am looking for a developer who can integrate the government e-invoice system into my PHP application.,E invoice integration in php application -- 2,https://www.freelancer.com/projects/php/invoice-integration-php-application,"bhilai, India",₹600-1500 INR,7 proposals
"i am manish and i make the all drawings and i edit this video also i am video editer,Graphic designer,drawing artist",drawing logo design,https://www.freelancer.com/projects/logo-design/drawing-logo-design-37025384,"New Delhi, India",₹12500-37500 INR,7 proposals
"I am developing an interactive book with a target audience of children aged 6-12. The book will be hosted as a website and will include basic animations and sound effects to enhance the user experience. My goal is to create an engaging and exciting story that encourages the development of creative thinking skills in children. I am looking for someone with the technical expertise to help bring this project to life. I want to have animation on some pages, sound effect, music, and mini-game",interactive book,https://www.freelancer.com/projects/animation/interactive-book,"Nottingham, United Kingdom",£250-750 GBP,33 proposals
I'm looking for a talented freelancer to create a new Go Manifest app for me. The app will be designed exclusively for the iOS platform and will help my users design visions for their life and give them support on their journey to making their dreams a reality.,Go Manifest App that helps client build visions and helps them focus,https://www.freelancer.com/projects/graphic-design/manifest-app-that-helps-client,"Birmingham, United States",$250-750 USD,28 proposals
I am looking for a freelancer who can develop an auto page generator for my website. The purpose of this project is to better serve customers with localized pages.,Auto page generator (category & Location wise) + multi language,https://www.freelancer.com/projects/php/auto-page-generator-category-location,"New Delhi, India",₹75000-150000 INR,9 proposals
Project Title: Run TikTok Ads in Dubai - 500k Dubai Views Target,Run tiktok ads in dubai - 500k dubai views target,https://www.freelancer.com/projects/internet-marketing/run-tiktok-ads-dubai-dubai,"Sungai Petani, Malaysia",$30-250 USD,8 proposals
looking for complete website development including:,Build a website + SEO,https://www.freelancer.com/projects/website-design/build-website-seo-31555871,"New Delhi, India",₹12500-37500 INR,22 proposals
"Hello,",Website designing // front end - angular / sql/ .net & SEO,https://www.freelancer.com/projects/seo/website-designing-front-end-angular,"New Delhi, India",₹12500-37500 INR,14 proposals
"Hello! I am looking for a talented freelancer to help create a children’s book for the 4-8 year old age group. This book will be a work of fiction and will include illustrations. To ensure a great result, I’m looking for someone who has experience creating engaging and captivating stories that young readers will love. Strong writing and design abilities as well as organized project management skills are a must. If this sounds like you, please submit a proposal with why you’d be the perfect person for the job. I look forward to hearing from you!",Children’s Book,https://www.freelancer.com/projects/caricature-cartoons/children-book-37025397,"Doncaster, United Kingdom",£250-750 GBP,64 proposals
Description:,Expert Video Editor with Strong Color Grading Skills,https://www.freelancer.com/projects/video-editing/expert-video-editor-with-strong,"Repentigny, Canada",$8-15 CAD / hour,24 proposals
